sofascore_id,player,squad,norm_key,rating,appearances,matchesStarted,minutesPlayed,goals,expectedGoals,assists,expectedAssists,bigChancesCreated,bigChancesMissed,totalShots,shotsOnTarget,goalConversionPercentage,accuratePasses,totalPasses,accuratePassesPercentage,accurateLongBalls,totalLongBalls,accurateLongBallsPercentage,keyPasses,accurateFinalThirdPasses,accurateChippedPasses,totalChippedPasses,successfulDribbles,totalContest,successfulDribblesPercentage,totalCross,accurateCrosses,accurateCrossesPercentage,touches,possessionLost,possessionWonAttThird,ballRecovery,dispossessed,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialLost,aerialDuelsWonPercentage,totalDuelsWon,totalDuelsWonPercentage,tackles,tacklesWon,tacklesWonPercentage,interceptions,clearances,blockedShots,outfielderBlocks,errorLeadToGoal,errorLeadToShot,dribbledPast,fouls,wasFouled,yellowCards,redCards,saves,savesCaught,savesParried,cleanSheet,goalsConceded,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,punches,runsOut,successfulRunsOut,highClaims,crossesNotClaimed,penaltyFaced,penaltySave
886204,Lazar Carević,Famalicão,lazar carevic,7.12,34,34,3060,0,,0,0.02,0,0,0,0,0.0,987,1174,84.07,114,294,38.78,0,11,61,94,0,0,0.0,0,0,0.0,1421,191,0,233,0,7,87.5,9,0,100.0,16,94.12,1,0,0.0,0,24,0,0.0,0,1,1,0,8,4,0,95,0,25,17,29,57,37,28,1,12,12,10,10,0,7,1
1394935,Bernardo Fontes,Tondela,bernardo fontes,7.03,34,34,3060,0,0.15,0,0.11,0,0,1,0,0.0,594,983,60.43,199,584,34.08,1,65,41,72,0,1,0.0,0,0,0.0,1363,398,0,299,0,14,87.5,9,1,90.0,23,88.46,3,2,66.67,0,42,0,0.0,2,2,1,0,11,1,0,114,1,30,7,55,75,34,48,7,18,26,23,38,2,11,1
943525,Felix Bacher,Estoril,felix bacher,6.77,34,34,3060,2,1.41,0,1.15,0,2,12,2,16.67,1598,1808,88.38,112,205,54.63,8,125,66,109,10,11,90.91,0,0,0.0,2281,242,0,136,5,91,61.49,90,67,57.32,181,59.34,45,30,66.67,47,197,6,16.0,3,2,15,38,37,4,0,0,0,0,5,57,0,0,49,8,0,0,0,0,0,0,0
82598,Renan Ribeiro,Estrela,renan ribeiro,6.85,33,33,2970,0,,0,0.05,0,0,0,0,0.0,550,900,61.11,190,534,35.58,1,24,61,109,1,1,100.0,0,0,0.0,1210,354,0,225,0,7,77.78,10,1,90.91,17,85.0,0,0,0.0,0,38,0,0.0,2,5,0,2,7,5,0,97,0,23,8,54,68,28,49,5,21,8,8,16,0,11,2
963744,Lukáš Horníček,Braga,lukas hornicek,6.95,33,33,2960,0,,0,0.02,0,0,0,0,0.0,846,1129,74.93,124,396,31.31,0,13,35,77,1,1,100.0,0,0,0.0,1410,287,0,239,0,5,83.33,11,1,91.67,16,88.89,0,0,0.0,0,51,0,0.0,0,0,1,0,5,4,0,74,0,19,12,33,47,27,29,4,16,45,45,16,0,6,2
1131145,Sidney Lima,Santa Clara,sidney lima,6.79,33,33,2933,1,1.17,0,0.9,1,1,16,3,6.25,1279,1487,86.01,92,213,43.19,16,117,51,119,3,8,37.5,19,6,31.58,1967,261,5,91,5,61,55.96,55,53,50.93,116,53.46,34,27,79.41,36,165,2,25.0,0,1,9,31,26,7,1,0,0,0,10,40,0,0,37,3,0,0,0,0,0,0,0
843115,Diogo Costa,Porto,diogo costa,7.06,33,33,2907,0,,0,0.12,0,0,0,0,0.0,768,999,76.88,169,391,43.22,0,39,63,112,0,0,0.0,0,0,0.0,1236,239,0,224,0,3,100.0,7,0,100.0,10,100.0,0,0,0.0,0,34,0,0.0,0,1,0,0,4,3,0,60,1,10,19,15,35,24,14,1,17,22,22,12,0,2,1
987597,Jesús Ramírez,Nacional,jesus ramirez,7.02,33,33,2892,18,17.29,0,1.06,0,14,108,45,16.67,414,601,68.89,10,22,45.45,26,163,11,30,25,46,54.35,6,0,0.0,1100,345,20,76,45,75,40.54,143,161,47.04,218,44.58,13,11,84.62,3,45,24,5.0,0,0,8,45,42,6,0,0,0,0,4,37,0,0,35,2,0,0,0,0,0,0,0
253809,Rui Silva,Sporting CP,rui silva,7.11,32,32,2880,0,,0,0.01,0,0,0,0,0.0,647,756,85.58,82,188,43.62,0,6,56,74,0,0,0.0,0,0,0.0,1025,110,0,255,0,1,100.0,3,0,100.0,4,100.0,0,0,0.0,0,23,0,0.0,1,1,0,0,1,4,0,76,0,17,14,23,41,34,21,2,11,21,21,16,0,5,1
966616,Anatoliy Trubin,Benfica,anatoliy trubin,6.86,32,32,2880,0,,0,0.03,0,0,0,0,0.0,466,640,72.81,97,268,36.19,0,23,19,38,0,0,0.0,0,0,0.0,877,178,0,196,0,5,100.0,8,0,100.0,13,100.0,0,0,0.0,0,18,0,0.0,3,2,0,0,6,2,0,73,1,20,13,24,41,31,21,3,13,6,6,10,0,4,2
822526,Gabriel Batista,Santa Clara,gabriel batista,6.86,32,32,2880,0,0.15,1,0.06,1,0,1,0,0.0,558,882,63.27,198,518,38.22,4,41,54,77,0,0,0.0,0,0,0.0,1154,327,0,275,0,2,50.0,12,1,92.31,14,82.35,0,0,0.0,0,27,0,0.0,2,0,2,0,5,0,0,76,0,28,9,40,38,37,37,3,15,12,12,31,2,8,2
1406639,Victor Froholdt,Porto,victor froholdt,6.89,34,32,2875,6,6.09,6,2.64,6,5,40,11,15.0,691,810,85.31,8,20,40.0,30,237,8,16,32,61,52.46,32,4,12.5,1355,308,20,132,39,123,47.67,32,38,45.71,155,47.26,46,24,52.17,31,31,15,10.0,0,1,32,39,46,2,0,0,0,0,16,14,0,0,13,1,0,0,0,0,0,0,0
993101,Samuel Dahl,Benfica,samuel dahl,7.02,33,32,2862,1,0.61,1,4.46,2,0,17,6,5.88,1374,1604,85.66,54,128,42.19,35,442,48,104,21,38,55.26,61,17,27.87,2303,360,5,145,11,137,61.71,18,34,34.62,155,56.57,88,56,63.64,24,46,5,6.0,1,0,35,24,28,3,0,0,0,0,11,24,0,0,21,3,0,0,0,0,0,0,0
849719,Gaizka Larrazabal,Casa Pia,gaizka larrazabal,6.83,33,33,2854,5,4.51,4,2.61,5,6,48,21,10.42,592,814,72.73,39,117,33.33,25,161,26,78,26,57,45.61,80,22,27.5,1548,445,11,136,23,87,45.79,26,29,47.27,113,46.12,50,31,62.0,28,85,16,7.0,0,0,20,30,12,6,0,0,0,0,3,53,0,0,47,6,0,0,0,0,0,0,0
830431,Francisco Trincão,Sporting CP,francisco trincao,7.14,34,32,2851,7,7.17,11,7.51,14,8,74,24,9.46,1166,1351,86.31,37,61,60.66,86,541,50,89,46,111,41.44,130,26,20.0,1941,459,25,120,32,103,44.4,9,5,64.29,112,45.53,36,22,61.11,10,15,27,1.0,0,1,13,22,21,1,0,0,0,0,11,22,0,0,20,2,0,0,0,0,0,0,0
1167068,Kaiky Naves,Alverca,kaiky naves,6.99,32,32,2835,2,2.05,0,0.75,1,2,17,4,11.76,1409,1692,83.27,192,356,53.93,7,151,122,232,4,7,57.14,8,3,37.5,2160,313,2,109,2,86,61.87,46,44,51.11,132,57.64,75,44,58.67,46,172,5,36.0,1,4,18,32,7,7,1,0,0,0,5,49,0,0,39,10,0,0,0,0,0,0,0
920684,Jordan Holsgrove,Estoril,jordan holsgrove,7.15,33,32,2834,1,1.04,7,5.38,12,0,36,7,2.78,2014,2359,85.38,131,246,53.25,53,453,140,271,12,29,41.38,139,37,26.62,2880,530,9,144,20,121,52.61,26,26,50.0,147,52.13,61,41,67.21,33,29,12,7.0,2,3,39,34,48,8,0,0,0,0,3,52,0,0,45,7,0,0,0,0,0,0,0
912781,Paulinho Bóia,Nacional,paulinho boia,6.94,33,33,2825,4,4.71,2,3.73,8,4,61,26,6.56,470,655,71.76,40,85,47.06,44,204,34,84,46,93,49.46,92,23,25.0,1309,451,29,135,40,166,49.7,15,45,25.0,181,45.94,48,23,47.92,11,21,13,1.0,0,1,45,40,72,6,0,0,0,0,4,35,0,0,33,2,0,0,0,0,0,0,0
904849,Nabil Touaizi,Alverca,nabil touaizi,6.74,33,31,2825,1,2.36,5,3.62,9,4,22,9,4.55,738,959,76.96,52,109,47.71,29,217,37,91,37,87,42.53,130,25,19.23,1817,504,8,134,22,84,42.0,24,30,44.44,108,42.52,26,16,61.54,27,76,2,9.0,0,2,19,26,21,7,0,0,0,0,6,47,0,0,37,10,0,0,0,0,0,0,0
1105595,Sorriso,Famalicão,sorriso,6.9,33,33,2799,5,8.1,4,5.38,10,11,63,20,7.94,638,820,77.8,32,63,50.79,42,303,28,57,22,66,33.33,175,37,21.14,1568,509,22,140,43,151,52.61,48,58,45.28,199,50.64,44,27,61.36,19,30,24,2.0,0,0,21,34,88,7,0,0,0,0,8,24,0,0,23,1,0,0,0,0,0,0,0
548044,João Carvalho,Estoril,joao carvalho,7.07,33,32,2798,6,4.39,11,5.65,13,2,50,21,12.0,1016,1311,77.5,79,143,55.24,54,347,84,167,33,95,34.74,64,18,28.13,1853,522,31,171,32,117,42.09,9,14,39.13,126,41.86,45,26,57.78,18,13,9,3.0,0,2,36,32,39,8,0,0,0,0,2,55,0,0,48,7,0,0,0,0,0,0,0
876255,Justin De Haas,Famalicão,justin de haas,7.17,31,31,2790,5,3.45,0,0.85,0,2,21,9,23.81,1791,2005,89.33,120,245,48.98,7,177,64,130,6,6,100.0,9,2,22.22,2400,247,0,103,8,76,58.46,47,40,54.02,123,56.68,45,26,57.78,30,159,7,20.0,0,1,14,34,26,7,0,0,0,0,15,28,0,0,27,1,0,0,0,0,0,0,0
93796,Joel Robles,Estoril,joel robles,6.77,31,31,2790,0,,0,0.22,0,0,0,0,0.0,431,764,56.41,174,504,34.52,0,23,24,35,1,1,100.0,0,0,0.0,1023,337,0,247,0,3,60.0,7,0,100.0,10,83.33,1,0,0.0,0,39,0,0.0,1,0,2,0,3,3,0,82,0,16,5,54,62,20,47,7,12,27,27,11,0,7,0
826054,Jérémy Livolant,Casa Pia,jeremy livolant,7.03,33,32,2776,3,5.66,8,4.62,8,7,46,16,6.52,543,771,70.43,22,58,37.93,40,205,25,56,29,71,40.85,176,46,26.14,1423,504,22,119,27,141,55.29,61,54,53.04,202,54.59,39,27,69.23,13,28,13,4.0,0,0,24,25,76,2,1,0,0,0,2,53,0,0,48,5,0,0,0,0,0,0,0
1097527,Luís Esteves,Gil Vicente FC,luis esteves,7.03,33,33,2770,4,4.05,8,4.38,8,1,76,23,5.26,1200,1457,82.36,99,172,57.56,58,389,94,190,13,31,41.94,126,28,22.22,2021,471,18,165,26,117,50.21,20,41,32.79,137,46.6,52,27,51.92,27,21,23,1.0,0,1,37,36,52,3,1,0,0,0,5,34,0,0,30,4,0,0,0,0,0,0,0
836676,Tom Van De Looi,Famalicão,tom van de looi,6.97,32,31,2753,0,1.08,0,2.29,5,0,32,4,0.0,1198,1392,86.06,77,122,63.11,13,261,50,86,3,3,100.0,5,2,40.0,1701,229,15,131,12,83,52.53,47,43,52.22,130,52.42,57,44,77.19,20,68,15,5.0,0,0,21,44,24,9,0,0,0,0,10,24,0,0,23,1,0,0,0,0,0,0,0
800348,Jonathan Buatu,Gil Vicente FC,jonathan buatu,6.77,31,31,2745,1,1.55,1,0.93,3,3,15,2,6.67,1322,1471,89.87,64,133,48.12,4,44,19,43,1,1,100.0,0,0,0.0,1781,159,1,77,0,49,56.32,78,62,55.71,127,55.95,36,23,63.89,21,149,3,14.0,0,0,13,28,13,4,0,0,0,0,11,33,0,0,27,6,0,0,0,0,0,0,0
955133,Naïs Djouahra,Arouca,nais djouahra,6.81,34,33,2743,6,2.5,3,3.72,5,3,49,19,12.24,666,834,79.86,30,60,50.0,31,242,36,70,33,73,45.21,154,26,16.88,1345,426,9,84,24,63,41.18,5,7,41.67,68,41.21,28,13,46.43,28,18,15,2.0,0,1,17,9,2,2,0,0,0,0,2,52,0,0,48,4,0,0,0,0,0,0,0
930246,Yanis Begraoui,Estoril,yanis begraoui,6.94,34,31,2726,20,13.03,1,1.8,2,9,79,35,25.32,472,604,78.15,17,24,70.83,19,169,15,26,25,56,44.64,30,2,6.67,1030,297,19,73,38,69,41.07,20,45,30.77,89,38.2,12,5,41.67,8,37,17,2.0,0,2,9,24,32,1,0,0,0,0,3,49,0,0,42,7,0,0,0,0,0,0,0
822509,Léo Santos,Nacional,leo santos,6.81,31,30,2719,3,1.82,2,0.73,1,3,24,6,12.5,1047,1267,82.64,76,201,37.81,12,82,39,93,13,17,76.47,9,2,22.22,1689,253,2,109,6,57,51.35,66,55,54.55,123,53.02,24,16,66.67,33,177,7,27.0,2,1,8,39,21,12,0,0,0,0,7,38,0,0,35,3,0,0,0,0,0,0,0
988964,Christian Marques,Tondela,christian marques,6.67,31,31,2715,0,0.39,0,1.06,1,1,3,1,0.0,1046,1188,88.05,75,154,48.7,8,73,36,69,5,6,83.33,0,0,0.0,1543,161,1,63,1,58,53.7,30,36,45.45,88,50.57,37,24,64.86,35,143,0,26.0,0,3,18,31,16,6,0,0,0,0,7,45,0,0,38,7,0,0,0,0,0,0,0
1563665,Gustavo Sá,Famalicão,gustavo sa,6.91,32,32,2711,4,5.16,2,4.42,11,6,44,14,9.09,774,1029,75.22,78,119,65.55,44,329,58,99,15,38,39.47,54,17,31.48,1519,400,18,122,24,132,46.48,58,47,55.24,190,48.84,46,31,67.39,12,41,12,3.0,0,1,34,76,72,7,0,0,0,0,9,22,0,0,21,1,0,0,0,0,0,0,0
905455,Alan,Moreirense,alan,6.92,33,32,2703,5,3.52,5,4.49,9,2,41,18,12.2,968,1092,88.64,42,65,64.62,42,341,38,65,18,41,43.9,147,39,26.53,1604,349,15,85,33,98,46.89,1,21,4.55,99,42.86,27,15,55.56,4,16,11,4.0,0,1,17,39,53,8,0,0,0,0,6,38,0,0,34,4,0,0,0,0,0,0,0
914213,Luis Javier Suárez,Sporting CP,luis javier suarez,7.4,32,31,2698,28,23.3,6,5.58,13,26,136,60,20.59,444,596,74.5,13,25,52.0,47,169,17,35,36,74,48.65,5,1,20.0,1098,313,20,53,36,102,46.15,31,39,44.29,133,45.7,16,6,37.5,2,15,25,2.0,0,0,12,43,53,7,0,0,0,0,7,20,0,0,18,2,0,0,0,0,0,0,0
286085,Jan Bednarek,Porto,jan bednarek,7.39,32,31,2690,2,0.95,0,1.19,0,1,13,4,15.38,2213,2399,92.25,85,144,59.03,7,182,49,78,0,1,0.0,1,1,100.0,2765,209,2,152,5,31,43.66,140,52,72.92,171,65.02,17,11,64.71,44,174,2,24.0,0,1,4,37,16,8,0,0,0,0,16,15,0,0,14,1,0,0,0,0,0,0,0
1002565,Luan Patrick,Estrela,luan patrick,6.85,31,30,2685,0,0.03,0,0.4,0,0,2,0,0.0,1314,1522,86.33,145,259,55.98,4,102,88,153,13,16,81.25,6,2,33.33,1910,236,1,127,0,60,60.61,27,20,57.45,87,59.59,40,30,75.0,29,171,1,31.0,0,2,11,26,8,5,1,0,0,0,7,52,0,0,48,4,0,0,0,0,0,0,0
1112474,Ze Vitor,Nacional,ze vitor,6.97,30,30,2673,4,2.99,1,0.55,0,1,35,9,11.43,1045,1290,81.01,109,244,44.67,10,132,57,134,6,12,50.0,5,0,0.0,1796,278,1,115,3,84,51.85,88,36,70.97,172,60.14,58,39,67.24,46,202,9,26.0,3,1,12,58,20,6,2,0,0,0,8,38,0,0,35,3,0,0,0,0,0,0,0
795236,Vangelis Pavlidis,Benfica,vangelis pavlidis,6.92,33,30,2667,22,21.67,4,2.9,7,19,95,47,23.16,443,632,70.09,17,25,68.0,36,193,19,36,14,45,31.11,11,2,18.18,1045,339,32,76,48,70,40.46,69,86,44.52,139,42.38,18,9,50.0,1,15,20,1.0,0,0,11,15,40,3,0,0,0,0,7,20,0,0,17,3,0,0,0,0,0,0,0
831781,Ghislain Konan,Gil Vicente FC,ghislain konan,6.75,30,30,2661,0,0.61,0,2.13,2,1,17,6,0.0,983,1221,80.51,51,137,37.23,20,269,47,116,51,110,46.36,69,15,21.74,1963,449,5,168,15,116,52.49,28,22,56.0,144,53.14,39,27,69.23,26,81,3,8.0,0,0,10,22,26,5,0,0,0,0,10,32,0,0,26,6,0,0,0,0,0,0,0
1084746,Santi García,Gil Vicente FC,santi garcia,6.91,33,31,2648,6,4.22,3,2.73,6,1,62,19,9.68,681,858,79.37,37,49,75.51,46,280,33,43,41,77,53.25,32,5,15.63,1565,472,22,108,52,143,47.04,63,78,44.68,206,46.29,41,33,80.49,9,30,19,3.0,0,1,24,51,64,5,0,0,0,0,7,32,0,0,28,4,0,0,0,0,0,0,0
1405973,Bastien Meupiyou,Alverca,bastien meupiyou,6.51,30,30,2619,0,0.95,0,0.36,0,2,6,2,0.0,1128,1325,85.13,65,151,43.05,2,103,40,91,23,40,57.5,5,1,20.0,1721,262,1,119,17,84,51.53,35,23,60.34,119,53.85,47,28,59.57,29,120,1,14.0,0,1,16,30,14,4,1,0,0,0,5,45,0,0,34,11,0,0,0,0,0,0,0
74915,Nicolás Otamendi,Benfica,nicolas otamendi,7.39,30,30,2605,2,1.25,0,0.74,0,0,24,6,8.33,1735,1916,90.55,126,207,60.87,9,202,68,121,9,11,81.82,6,0,0.0,2329,217,4,105,6,90,67.16,127,36,77.91,217,73.06,45,29,64.44,40,130,8,19.0,3,3,15,23,41,7,1,0,0,0,12,18,0,0,16,2,0,0,0,0,0,0,0
931485,Maracás,Moreirense,maracas,6.86,29,29,2594,4,1.22,0,0.14,0,1,6,4,66.67,1537,1711,89.83,82,187,43.85,2,37,46,88,2,3,66.67,1,0,0.0,2076,190,0,109,5,56,56.0,72,45,61.54,128,58.99,40,29,72.5,25,188,0,20.0,1,2,11,30,15,9,2,0,0,0,6,42,0,0,38,4,0,0,0,0,0,0,0
611880,Murilo,Gil Vicente FC,murilo,6.91,32,30,2589,11,11.29,4,4.63,4,8,74,32,14.86,592,751,78.83,30,53,56.6,40,263,23,63,34,73,46.58,172,45,26.16,1357,440,25,129,44,90,45.92,13,22,37.14,103,44.59,31,18,58.06,8,11,16,2.0,0,0,13,12,25,3,0,0,0,0,3,33,0,0,27,6,0,0,0,0,0,0,0
1019184,Serginho,Santa Clara,serginho,6.92,32,31,2580,4,4.8,3,3.95,6,1,39,10,10.26,942,1109,84.94,57,98,58.16,43,284,49,88,19,36,52.78,104,30,28.85,1589,332,22,163,25,122,53.04,23,24,48.94,145,52.35,58,35,60.34,17,22,15,3.0,0,0,21,48,45,9,0,0,0,0,5,37,0,0,36,1,0,0,0,0,0,0,0
1090543,Abraham Marcus,Estrela,abraham marcus,7.05,31,30,2573,5,5.35,5,5.14,15,4,44,13,11.36,571,713,80.08,41,73,56.16,44,195,33,71,51,96,53.13,73,16,21.92,1344,412,21,138,67,141,49.13,45,52,46.39,186,48.44,39,23,58.97,13,26,12,3.0,0,0,11,29,53,1,1,0,0,0,7,41,0,0,36,5,0,0,0,0,0,0,0
991924,Rodrigo Pinheiro,Famalicão,rodrigo pinheiro,7.11,29,29,2571,3,0.83,2,3.77,8,0,13,6,23.08,808,1012,79.84,32,85,37.65,27,242,40,88,14,26,53.85,77,24,31.17,1718,391,11,114,9,114,52.78,24,23,51.06,138,52.47,58,33,56.9,22,86,3,7.0,0,2,26,56,46,5,0,0,0,0,14,22,0,0,21,1,0,0,0,0,0,0,0
1105857,Taichi Fukui,Arouca,taichi fukui,6.94,33,29,2547,4,0.87,3,2.27,1,0,28,8,14.29,1096,1255,87.33,63,112,56.25,21,201,53,92,18,31,58.06,21,9,42.86,1627,241,13,141,22,113,57.07,15,16,48.39,128,55.9,55,40,72.73,27,45,5,7.0,1,0,32,19,40,2,1,0,0,0,3,52,0,0,47,5,0,0,0,0,0,0,0
964609,Jose Fontán,Arouca,jose fontan,6.55,30,29,2545,2,1.36,3,1.22,5,1,16,4,12.5,1669,1895,88.07,98,219,44.75,14,116,60,110,6,10,60.0,20,4,20.0,2286,274,3,113,2,53,49.53,61,42,59.22,114,54.29,30,20,66.67,32,160,3,11.0,0,0,11,38,19,5,3,0,0,0,5,51,0,0,47,4,0,0,0,0,0,0,0
848521,Marios Vrousai,Rio Ave,marios vrousai,6.95,31,30,2531,1,2.33,2,2.37,5,1,44,18,2.27,860,1135,75.77,50,133,37.59,27,202,41,97,42,70,60.0,63,10,15.87,1968,447,13,160,20,162,57.65,35,27,56.45,197,57.43,83,57,68.67,54,88,16,13.0,0,1,36,35,37,3,1,0,0,0,2,43,0,0,36,7,0,0,0,0,0,0,0
821628,Patrick Sequeira,Casa Pia,patrick sequeira,6.78,29,29,2531,0,,0,0.24,0,0,0,0,0.0,430,770,55.84,166,500,33.2,1,37,20,38,0,0,0.0,0,0,0.0,1047,351,0,245,0,9,81.82,13,1,92.86,22,88.0,2,1,50.0,0,34,0,0.0,1,4,0,2,12,3,1,80,3,28,7,45,45,32,41,4,15,16,14,22,1,10,0
1167067,Kaique,Nacional,kaique,7.0,28,28,2520,0,,0,0.06,0,0,0,0,0.0,534,936,57.05,183,581,31.5,0,44,24,49,1,1,100.0,0,0,0.0,1228,408,0,252,0,11,91.67,8,1,88.89,19,90.48,0,0,0.0,0,46,0,0.0,1,4,1,0,12,4,0,87,1,21,7,35,61,25,33,2,15,29,29,19,1,8,4
1001196,Gonçalo Inácio,Sporting CP,goncalo inacio,7.55,29,29,2506,2,1.22,3,2.17,3,0,11,3,18.18,2238,2483,90.13,142,251,56.57,17,297,93,188,8,9,88.89,4,1,25.0,2780,271,2,147,6,76,64.96,52,55,48.6,128,57.14,45,26,57.78,28,89,5,16.0,0,3,15,21,23,4,1,0,0,0,12,15,0,0,13,2,0,0,0,0,0,0,0
583838,Gil Dias,Famalicão,gil dias,7.07,33,30,2506,4,4.01,7,7.38,14,6,52,15,7.69,580,830,69.88,20,50,40.0,35,272,26,69,32,61,52.46,123,37,30.08,1417,464,26,140,33,133,47.84,17,17,50.0,150,48.08,58,42,72.41,15,22,14,2.0,0,1,41,43,43,8,0,0,0,0,6,23,0,0,22,1,0,0,0,0,0,0,0
125625,Sergi Gómez,Alverca,sergi gomez,6.58,29,28,2484,0,0.6,0,0.71,0,1,3,1,0.0,890,1000,89.0,58,142,40.85,3,40,20,45,0,0,0.0,0,0,0.0,1260,117,0,44,0,32,68.09,25,24,51.02,57,59.38,28,20,71.43,19,153,1,13.0,2,1,3,14,5,1,0,0,0,0,4,40,0,0,30,10,0,0,0,0,0,0,0
877918,Victor Gómez,Braga,victor gomez,6.78,32,27,2479,1,1.0,4,3.19,7,0,16,8,6.25,1285,1543,83.28,35,117,29.91,32,447,38,90,5,11,45.45,79,23,29.11,2166,395,17,109,8,81,60.0,14,21,40.0,95,55.88,41,23,56.1,23,41,4,4.0,0,1,26,17,37,2,0,0,0,0,5,33,0,0,29,4,0,0,0,0,0,0,0
879917,Maranhão,Tondela,maranhao,6.77,33,30,2470,6,8.87,2,3.68,4,13,66,25,9.09,428,580,73.79,15,34,44.12,31,177,19,42,28,58,48.28,80,20,25.0,1136,354,24,105,20,131,54.36,12,31,27.91,143,50.35,42,24,57.14,20,14,10,3.0,0,0,21,40,62,7,0,0,0,0,2,41,0,0,35,6,0,0,0,0,0,0,0
1511656,Mathias De Amorim,Famalicão,mathias de amorim,6.95,30,30,2468,4,2.83,2,3.45,5,3,36,9,11.11,703,852,82.51,36,52,69.23,25,247,31,57,41,76,53.95,25,5,20.0,1391,311,13,142,34,198,54.85,17,25,40.48,215,53.35,81,46,56.79,28,17,8,4.0,0,2,33,62,76,8,1,0,0,0,6,19,0,0,19,0,0,0,0,0,0,0,0
1001662,Zé Carlos,Gil Vicente FC,ze carlos,6.76,32,29,2466,0,0.48,0,1.73,2,0,17,1,0.0,672,903,74.42,59,148,39.86,23,176,33,98,8,22,36.36,62,17,27.42,1543,379,7,83,8,90,52.02,46,29,61.33,136,54.84,48,27,56.25,38,99,4,7.0,1,0,25,39,36,8,0,0,0,0,6,28,0,0,23,5,0,0,0,0,0,0,0
863637,Tiago Esgaio,Arouca,tiago esgaio,6.74,29,27,2462,3,2.03,5,3.42,6,3,16,4,18.75,727,1036,70.17,46,146,31.51,27,176,37,101,4,5,80.0,50,16,32.0,1683,436,2,89,3,57,52.29,89,52,63.12,146,58.4,33,21,63.64,28,108,1,17.0,0,1,11,40,23,10,0,0,0,0,6,49,0,0,44,5,0,0,0,0,0,0,0
1133063,Tunde Akinsola,AVS Futebol,tunde akinsola,6.62,34,28,2454,1,3.04,4,3.43,6,3,51,12,1.96,320,433,73.9,18,33,54.55,31,158,23,36,43,92,46.74,87,25,28.74,1007,395,15,116,52,97,41.28,13,33,28.26,110,39.15,20,15,75.0,15,23,15,1.0,0,0,17,22,34,2,0,0,0,0,2,56,0,0,50,6,0,0,0,0,0,0,0
1020610,Matheus Dias,Nacional,matheus dias,6.8,31,30,2447,0,1.6,1,0.81,2,4,19,4,0.0,863,1019,84.69,58,104,55.77,14,119,30,59,6,12,50.0,5,1,20.0,1438,209,5,110,7,77,48.73,40,27,59.7,117,52.0,45,24,53.33,47,135,2,13.0,0,1,23,48,28,7,1,0,0,0,5,39,0,0,36,3,0,0,0,0,0,0,0
1133568,João Mendes,Vit. Guimarães,joao mendes,6.67,29,29,2441,1,1.61,1,1.36,4,0,30,5,3.33,833,1057,78.81,67,154,43.51,20,219,39,94,11,23,47.83,78,16,20.51,1677,376,10,92,6,84,53.85,23,28,45.1,107,51.69,55,34,61.82,23,84,10,5.0,0,0,18,36,18,7,0,0,0,0,6,43,0,0,43,0,0,0,0,0,0,0,0
1142578,Diogo Travassos,Moreirense,diogo travassos,6.92,29,27,2437,5,2.82,3,3.19,7,3,40,12,12.5,707,903,78.29,37,75,49.33,24,182,21,53,40,84,47.62,85,16,18.82,1585,422,8,116,25,147,51.94,15,21,41.67,162,50.78,60,42,70.0,29,45,15,5.0,1,2,26,45,48,2,0,0,0,0,5,41,0,0,37,4,0,0,0,0,0,0,0
1114164,Marvin Elimbi Gilbert,Gil Vicente FC,marvin elimbi gilbert,6.64,28,28,2432,0,1.22,0,0.57,0,2,14,2,0.0,1032,1208,85.43,98,200,49.0,6,100,30,91,2,4,50.0,7,1,14.29,1523,202,0,76,3,35,43.75,41,61,40.2,76,41.76,25,16,64.0,24,149,7,16.0,1,2,7,36,8,7,0,0,0,0,9,30,0,0,27,3,0,0,0,0,0,0,0
1166006,Mateja Stjepanović,Moreirense,mateja stjepanovic,6.63,32,29,2412,1,0.81,0,0.82,2,0,19,4,5.26,987,1183,83.43,72,140,51.43,7,135,64,103,2,5,40.0,6,1,16.67,1415,239,2,92,5,37,45.12,17,46,26.98,54,37.24,27,16,59.26,19,59,5,6.0,0,3,13,24,9,6,0,0,0,0,7,37,0,0,33,4,0,0,0,0,0,0,0
965263,Gustaf Lagerbielke,Braga,gustaf lagerbielke,6.99,28,26,2391,2,2.45,0,1.35,0,2,18,4,11.11,1865,2077,89.79,80,177,45.2,8,286,53,117,7,10,70.0,2,0,0.0,2387,232,4,80,3,57,46.72,95,36,72.52,152,60.08,27,15,55.56,26,112,6,9.0,0,1,15,46,25,6,1,0,0,0,7,28,0,0,26,2,0,0,0,0,0,0,0
1090646,Paulo Moreira,Estrela,paulo moreira,6.68,29,27,2379,3,1.28,2,1.0,1,0,14,6,21.43,713,833,85.59,48,80,60.0,13,135,39,66,20,43,46.51,13,2,15.38,1240,250,8,99,36,123,51.25,13,31,29.55,136,47.89,47,22,46.81,15,42,2,9.0,1,2,21,39,56,7,1,0,0,0,3,49,0,0,46,3,0,0,0,0,0,0,0
